formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
BaCaV2O7,3.2741,-2.9152179952272723,9.023352273018761e-05,3.698916914506586,702.6295005216389
BaCdP2O7,3.5826000000000002,-2.7924746581168822,0.0,4.493655099522952,313.12567373739927
BaCeO3,2.2207,-3.589836753000001,0.0,6.272009404625958,344.64733173556965
BaCoO3,0.0,-2.047858012,0.0,6.158290639687289,263.4501234018471
BaCoP2O7,2.418199999999999,-2.753409940389611,0.0,4.075244815659921,301.6934852748219
BaCr2O4,2.2386,-2.603035794642854,0.0,5.301521253614749,382.52452444182234
BaCrO4,2.9695,-2.46133507083334,0.0,4.5086112331488515,373.1959993673475
BaCu2Ge2O7,0.21399999999999902,-1.968493761249999,0.010225376620365,5.021825479557069,690.0236575473202
BaCu2Si2O7,0.0,-2.519344026666667,0.035401872291671,4.448314055778702,645.9306708556279
BaCuB2O5,0.5047,-2.5904780203703712,0.027751537777767003,4.066481626766127,123.52196061277216
BaCuO2,0.0,-1.99196457625,0.0,5.800540355348222,133.32989608560274
BaCuP2O7,0.0,-2.6480144217532473,0.0,4.145291017145562,300.291171947674
BaEu2Mn2O7,0.0,-2.715639680905172,0.09608754319439801,7.282208637204271,151.21073314657252
BaFe12O19,1.2425,-1.7352961110937501,0.055359159999999005,5.011014687625418,736.6234424133885
BaFe2Se3,0.0,-1.041645748255207,0.05822068625000001,5.318568614546303,606.8181191736439
BaFeO3,0.0,-2.1502811303333322,0.0,6.361031509429975,377.7430168733332
BaGa2GeSe6,1.9186,-1.11165269040625,0.016288658625,4.882512154470691,279.9605780435599
BaGa4Se7,1.4955999999999992,-1.145983673033856,0.01086476791666,4.989722286523407,644.9100652346654
BaGd2Mn2O7,0.0,-2.977401411946841,0.021925493402813002,7.297259315580496,613.2183481990255
BaGd2ZnO5,2.6449,-3.2007851988888882,0.014632035185181,7.485380962783398,529.9549793355868
BaGe4O9,3.0551,-2.3543098241666662,0.0,5.068852634878905,562.0394633700381
BaGeO3,3.5519,-2.696001211500001,0.0,4.956252732217032,345.7138411355125
BaHfO3,3.5394,-3.786714650999999,0.0,8.332451498508037,72.50319461578196
BaIrO3,0.0,-2.006859299333334,0.016256119291678,8.804769592656054,427.2163393665766
BaLa2Ti3O10,1.9924,-3.6833114234375,0.009958511093751002,5.438877747007933,438.871466077295
BaLa2WO7,3.3342,-3.290893364545455,0.0,7.067492565297035,668.1858719703329
BaLa2ZnO5,2.923999999999999,-3.190330179444444,0.014263236574070002,6.577619537801509,283.02187609561764
BaLa4Ti4O15,2.8881,-3.71649078763889,0.030498972291665004,5.98616984321809,623.8123075135277
BaLaMnMoO6,0.382399999999999,-2.644228270293104,0.193645975828825,6.261446927134127,138.72823302259997
BaLaSi2,0.0,-0.561279521249999,0.0,4.63400263702264,238.22556482749124
BaLi2Ti6O14,2.9428,-3.392609160507246,0.0,3.942498183315851,1115.9882328136423
BaLiF3,6.564299999999999,-3.741441043666666,0.021903220000002003,5.266935916551588,63.45348177862734
BaMg2Si2O7,4.558,-3.294698232291667,0.0,3.711114983795887,633.7752358511707
BaMg2V2O8,3.5789,-2.861839448846154,0.0,4.03308490813912,684.813139135899
BaMgF4,6.8004999999999995,-3.986340862499998,0.0037440633333360005,4.5325846744088345,174.11108302378454
BaMgP2O7,5.5594,-3.112968518116882,0.0,3.583972208581248,621.9199289042926
BaMgSiO4,4.1136,-3.300220161666667,0.016950204047614003,3.847069110599898,657.0776191810533
BaMn2Ru4O11,0.0,-1.7498448808812261,0.039044647638887,6.391398790574562,429.97067883305147
BaMn2Si2O7,2.6464,-2.9346034744468383,0.0,3.9761824258033442,693.869501518146
BaMnO3,0.8952999999999991,-2.489944874252874,0.0,6.088581271505338,196.58101951817102
BaMoO4,3.7927,-2.654552259166666,0.0,4.867937883926004,202.80434680449002
